Event,Frame,Description,GPU Duration,Separate Context Overlap
0 - 23,,D3D12 Direct Q:0,,
0 - 22,0,ExecuteCommandLists(ID3D12CommandList** ppCommandLists = { '0x000002a691ced4d0' }),128.69ms,
1 - 22,0,ID3D12CommandList (0),128.69ms,
1,0,SetPipelineState1(ID3D12StateObject* pStateObject = '0x000002a6c2290ee0'),,
2,0,"SetDescriptorHeaps(UINT NumDescriptorHeaps = 1, ID3D12DescriptorHeap** ppDescriptorHeaps = { '0x000002a699fb4db0' })",,
3,0,"ClearUnorderedAccessViewUint(D3D12_GPU_DESCRIPTOR_HANDLE ViewGPUHandleInCurrentHeap = { .ptr = '0x0055678a002b0300' }, D3D12_CPU_DESCRIPTOR_HANDLE ViewCPUHandle = { .ptr = '0x000002a68c350300' }, ID3D12Resource* pResource = '0x000002a6c2b4dbc0', UINT[4] Values = { 0, 0, 0, 0 })",0.01ms,
4,0,"DispatchRays(D3D12_DISPATCH_RAYS_DESC* pDesc = { .RayGenerationShaderRecord = { .StartAddress = '0x1d9af000', .SizeInBytes = 64 }, .MissShaderTable = { .StartAddress = '0x1d9af040', .SizeInBytes = 32, .StrideInBytes = 32 }, .HitGroupTable = { .StartAddress = '0x1d9af060', .SizeInBytes = 32, .StrideInBytes = 32 }, .CallableShaderTable = { .StartAddress = 'NULL', .SizeInBytes = 0, .StrideInBytes = 0 }, .Width = 1280, .Height = 720, .Depth = 1 })",128.53ms,
5,0,"ResourceBarrier(UINT NumBarriers = 1, const D3D12_RESOURCE_BARRIER* pBarriers = { { .Flags = 0, .Transition = { .pResource = '0x000002a6c32e4390', .Subresource = 4294967295, .StateBefore = 8, .StateAfter = 64 } } })",<0.01ms,
6,0,"SetDescriptorHeaps(UINT NumDescriptorHeaps = 1, ID3D12DescriptorHeap** ppDescriptorHeaps = { '0x000002a6c3612450' })",,
7,0,SetPipelineState(ID3D12PipelineState* pPipelineState = '0x000002a6c251de30'),,
8,0,"Dispatch(UINT ThreadGroupCountX = 158, UINT ThreadGroupCountY = 86, UINT ThreadGroupCountZ = 1)",0.09ms,
9,0,"ResourceBarrier(UINT NumBarriers = 1, const D3D12_RESOURCE_BARRIER* pBarriers = { { .Flags = 0, .Transition = { .pResource = '0x000002a6c32e8680', .Subresource = 4294967295, .StateBefore = 8, .StateAfter = 2048 } } })",<0.01ms,
10,0,"ResourceBarrier(UINT NumBarriers = 1, const D3D12_RESOURCE_BARRIER* pBarriers = { { .Flags = 0, .Transition = { .pResource = '0x000002a6c1f4ec00', .Subresource = 4294967295, .StateBefore = 0, .StateAfter = 1024 } } })",<0.01ms,
11,0,"CopyResource(ID3D12Resource* pDstResource = '0x000002a6c1f4ec00', ID3D12Resource* pSrcResource = '0x000002a6c32e8680')",0.04ms,
12,0,"ResourceBarrier(UINT NumBarriers = 1, const D3D12_RESOURCE_BARRIER* pBarriers = { { .Flags = 0, .Transition = { .pResource = '0x000002a6c1f4ec00', .Subresource = 4294967295, .StateBefore = 1024, .StateAfter = 4 } } })",<0.01ms,
13,0,"ResourceBarrier(UINT NumBarriers = 1, const D3D12_RESOURCE_BARRIER* pBarriers = { { .Flags = 0, .Transition = { .pResource = '0x000002a6c32e8680', .Subresource = 4294967295, .StateBefore = 2048, .StateAfter = 8 } } })",<0.01ms,
14,0,"ResourceBarrier(UINT NumBarriers = 1, const D3D12_RESOURCE_BARRIER* pBarriers = { { .Flags = 0, .Transition = { .pResource = '0x000002a6c32e4390', .Subresource = 4294967295, .StateBefore = 64, .StateAfter = 8 } } })",<0.01ms,
15,0,"ResourceBarrier(UINT NumBarriers = 1, const D3D12_RESOURCE_BARRIER* pBarriers = { { .Flags = 0, .Transition = { .pResource = '0x000002a6c2b4dbc0', .Subresource = 4294967295, .StateBefore = 8, .StateAfter = 2048 } } })",<0.01ms,
16,0,"CopyResource(ID3D12Resource* pDstResource = '0x000002a6c2b4e4d0', ID3D12Resource* pSrcResource = '0x000002a6c2b4dbc0')",<0.01ms,
17,0,"ResourceBarrier(UINT NumBarriers = 1, const D3D12_RESOURCE_BARRIER* pBarriers = { { .Flags = 0, .Transition = { .pResource = '0x000002a6c2b4dbc0', .Subresource = 4294967295, .StateBefore = 2048, .StateAfter = 8 } } })",<0.01ms,
18,0,"SetDescriptorHeaps(UINT NumDescriptorHeaps = 1, ID3D12DescriptorHeap** ppDescriptorHeaps = { '0x000002a6c3611b20' })",,
19,0,SetPipelineState(ID3D12PipelineState* pPipelineState = '0x000002a6c43a5e20'),,
20 - 21,0,DrawIndexedInstanced (0-1),0.01ms,
20,0,"DrawIndexedInstanced(UINT IndexCountPerInstance = 36, UINT InstanceCount = 1, UINT StartIndexLocation = 0, INT BaseVertexLocation = 0, UINT StartInstanceLocation = 0)",,
21,0,"DrawIndexedInstanced(UINT IndexCountPerInstance = 354, UINT InstanceCount = 1, UINT StartIndexLocation = 36, INT BaseVertexLocation = 0, UINT StartInstanceLocation = 0)",,
22,0,"ResourceBarrier(UINT NumBarriers = 1, const D3D12_RESOURCE_BARRIER* pBarriers = { { .Flags = 0, .Transition = { .pResource = '0x000002a6c1f4ec00', .Subresource = 4294967295, .StateBefore = 4, .StateAfter = 0 } } })",0.00ms,
23,0,"Present(UINT32 SyncInterval = 0, UINT32 Flags = 0, Swapchain Info pSwapChain = { .Handle = '0x000002a699f50080', .Width = 1264, .Height = 681, .BufferCount = 2, .SwapEffect = ""DXGI_SWAP_EFFECT_FLIP_DISCARD"", .Format = ""DXGI_FORMAT_R10G10B10A2_UNORM"" })",0.02ms,
